### Footprint positions - created on 2026-01-22T12:56:30-0500 ###
### Printed by KiCad version 9.0.3
## Unit = mm, Angle = deg.
## Side : All
# Ref       Val                       Package                                          PosX       PosY       Rot  Side
C103        1uF                       GEN_C_0402                                    87.7800    87.2900    0.0000  top
C104_1      1uF                       GEN_C_0402                                    82.6402    70.9000  180.0000  top
C104_2      1uF                       GEN_C_0402                                    77.0901    70.9000  180.0000  top
C104_3      1uF                       GEN_C_0402                                    71.5401    70.9000  180.0000  top
C104_4      1uF                       GEN_C_0402                                    65.9900    70.9000  180.0000  top
C105_1      1uF                       GEN_C_0402                                    82.1218    74.4750   90.0000  top
C105_2      1uF                       GEN_C_0402                                    76.5717    74.4750   90.0000  top
C105_3      1uF                       GEN_C_0402                                    71.0217    74.4750   90.0000  top
C105_4      1uF                       GEN_C_0402                                    65.4716    74.4750   90.0000  top
C106        10uF                      GEN_C_0603                                    88.3300    90.3850  180.0000  top
C107        10uF                      GEN_C_0603                                    65.9500    65.8750  180.0000  top
C108        10uF                      GEN_C_0603                                    65.9500    67.3750  180.0000  top
C109        10uF                      GEN_C_0603                                    68.9500    65.8750    0.0000  top
C110        10uF                      GEN_C_0603                                    68.9500    67.3750    0.0000  top
C111        10uF                      GEN_C_0603                                    87.7500    94.3850  180.0000  top
